transaction_id,timestamp,sender_account,receiver_account,sender_upi,receiver_upi,amount,currency,transaction_type,status
T001,2026-09-18T10:15:00Z,VICTIM-001,MULE-001,victim@upi,mulea@upi,48500,INR,UPI,CAPTURED
T002,2026-09-18T10:23:00Z,MULE-001,MULE-002,mulea@upi,muleb@upi,47000,INR,UPI,CAPTURED
T003,2026-09-18T10:29:00Z,MULE-002,CASHOUT-001,muleb@upi,cashout@upi,45000,INR,UPI,CAPTURED
T004,2026-09-18T10:17:00Z,VICTIM-002,MULE-001,victim2@upi,mulea@upi,32000,INR,UPI,CAPTURED
T005,2026-09-18T10:18:00Z,VICTIM-003,MULE-001,victim3@upi,mulea@upi,27500,INR,UPI,CAPTURED
T006,2026-09-18T10:25:00Z,MULE-001,MULE-003,mulea@upi,mulec@upi,30000,INR,UPI,CAPTURED
T007,2026-09-18T11:49:00.000Z,CUSTOMER-001,MERCHANT-008,customer1@upi,merchant8@upi,1709,INR,UPI,CAPTURED
T008,2026-09-18T11:56:00.000Z,CUSTOMER-002,MERCHANT-009,customer2@upi,merchant9@upi,1846,INR,UPI,CAPTURED
T009,2026-09-18T12:03:00.000Z,CUSTOMER-003,MERCHANT-010,customer3@upi,merchant10@upi,1983,INR,UPI,CAPTURED
T010,2026-09-18T12:10:00.000Z,CUSTOMER-004,MERCHANT-011,customer4@upi,merchant11@upi,2120,INR,UPI,CAPTURED
T011,2026-09-18T12:17:00.000Z,CUSTOMER-005,MERCHANT-012,customer5@upi,merchant12@upi,2257,INR,UPI,CAPTURED
T012,2026-09-18T12:24:00.000Z,CUSTOMER-006,MERCHANT-013,customer6@upi,merchant13@upi,2394,INR,UPI,CAPTURED
T013,2026-09-18T12:31:00.000Z,CUSTOMER-007,MERCHANT-014,customer7@upi,merchant14@upi,2531,INR,UPI,CAPTURED
T014,2026-09-18T12:38:00.000Z,CUSTOMER-008,MERCHANT-015,customer8@upi,merchant15@upi,2668,INR,UPI,CAPTURED
T015,2026-09-18T12:45:00.000Z,CUSTOMER-009,MERCHANT-016,customer9@upi,merchant16@upi,2805,INR,UPI,CAPTURED
T016,2026-09-18T12:52:00.000Z,CUSTOMER-010,MERCHANT-017,customer10@upi,merchant17@upi,2942,INR,UPI,CAPTURED
T017,2026-09-18T12:59:00.000Z,CUSTOMER-011,MERCHANT-018,customer11@upi,merchant18@upi,3079,INR,UPI,CAPTURED
T018,2026-09-18T13:06:00.000Z,CUSTOMER-012,MERCHANT-019,customer12@upi,merchant19@upi,3216,INR,UPI,CAPTURED
T019,2026-09-18T13:13:00.000Z,CUSTOMER-013,MERCHANT-020,customer13@upi,merchant20@upi,3353,INR,UPI,CAPTURED
T020,2026-09-18T13:20:00.000Z,CUSTOMER-014,MERCHANT-021,customer14@upi,merchant21@upi,3490,INR,UPI,CAPTURED
T021,2026-09-18T13:27:00.000Z,CUSTOMER-015,MERCHANT-022,customer15@upi,merchant22@upi,3627,INR,UPI,CAPTURED
T022,2026-09-18T13:34:00.000Z,CUSTOMER-016,MERCHANT-023,customer16@upi,merchant23@upi,3764,INR,UPI,CAPTURED
T023,2026-09-18T13:41:00.000Z,CUSTOMER-017,MERCHANT-024,customer17@upi,merchant24@upi,3901,INR,UPI,CAPTURED
T024,2026-09-18T13:48:00.000Z,CUSTOMER-018,MERCHANT-001,customer18@upi,merchant1@upi,4038,INR,UPI,CAPTURED
T025,2026-09-18T13:55:00.000Z,CUSTOMER-019,MERCHANT-002,customer19@upi,merchant2@upi,4175,INR,UPI,CAPTURED
T026,2026-09-18T14:02:00.000Z,CUSTOMER-020,MERCHANT-003,customer20@upi,merchant3@upi,4312,INR,UPI,CAPTURED
T027,2026-09-18T14:09:00.000Z,CUSTOMER-021,MERCHANT-004,customer21@upi,merchant4@upi,4449,INR,UPI,CAPTURED
T028,2026-09-18T14:16:00.000Z,CUSTOMER-022,MERCHANT-005,customer22@upi,merchant5@upi,4586,INR,UPI,CAPTURED
T029,2026-09-18T14:23:00.000Z,CUSTOMER-023,MERCHANT-006,customer23@upi,merchant6@upi,4723,INR,UPI,CAPTURED
T030,2026-09-18T14:30:00.000Z,CUSTOMER-024,MERCHANT-007,customer24@upi,merchant7@upi,4860,INR,UPI,CAPTURED
T031,2026-09-18T14:37:00.000Z,CUSTOMER-025,MERCHANT-008,customer25@upi,merchant8@upi,4997,INR,UPI,CAPTURED
T032,2026-09-18T14:44:00.000Z,CUSTOMER-026,MERCHANT-009,customer26@upi,merchant9@upi,5134,INR,UPI,CAPTURED
T033,2026-09-18T14:51:00.000Z,CUSTOMER-027,MERCHANT-010,customer27@upi,merchant10@upi,5271,INR,UPI,CAPTURED
T034,2026-09-18T14:58:00.000Z,CUSTOMER-028,MERCHANT-011,customer28@upi,merchant11@upi,5408,INR,UPI,CAPTURED
T035,2026-09-18T15:05:00.000Z,CUSTOMER-029,MERCHANT-012,customer29@upi,merchant12@upi,5545,INR,UPI,CAPTURED
T036,2026-09-18T15:12:00.000Z,CUSTOMER-030,MERCHANT-013,customer30@upi,merchant13@upi,5682,INR,UPI,CAPTURED
T037,2026-09-18T15:19:00.000Z,CUSTOMER-031,MERCHANT-014,customer31@upi,merchant14@upi,5819,INR,UPI,CAPTURED
T038,2026-09-18T15:26:00.000Z,CUSTOMER-032,MERCHANT-015,customer32@upi,merchant15@upi,5956,INR,UPI,CAPTURED
T039,2026-09-18T15:33:00.000Z,CUSTOMER-033,MERCHANT-016,customer33@upi,merchant16@upi,6093,INR,UPI,CAPTURED
T040,2026-09-18T15:40:00.000Z,CUSTOMER-034,MERCHANT-017,customer34@upi,merchant17@upi,6230,INR,UPI,CAPTURED
T041,2026-09-18T15:47:00.000Z,CUSTOMER-035,MERCHANT-018,customer35@upi,merchant18@upi,6367,INR,UPI,CAPTURED
T042,2026-09-18T15:54:00.000Z,CUSTOMER-036,MERCHANT-019,customer36@upi,merchant19@upi,6504,INR,UPI,CAPTURED
T043,2026-09-18T16:01:00.000Z,CUSTOMER-037,MERCHANT-020,customer37@upi,merchant20@upi,6641,INR,UPI,CAPTURED
T044,2026-09-18T16:08:00.000Z,CUSTOMER-038,MERCHANT-021,customer38@upi,merchant21@upi,6778,INR,UPI,CAPTURED
T045,2026-09-18T16:15:00.000Z,CUSTOMER-039,MERCHANT-022,customer39@upi,merchant22@upi,6915,INR,UPI,CAPTURED
T046,2026-09-18T16:22:00.000Z,CUSTOMER-040,MERCHANT-023,customer40@upi,merchant23@upi,7052,INR,UPI,CAPTURED
T047,2026-09-18T16:29:00.000Z,CUSTOMER-041,MERCHANT-024,customer41@upi,merchant24@upi,7189,INR,UPI,CAPTURED
T048,2026-09-18T16:36:00.000Z,CUSTOMER-042,MERCHANT-001,customer42@upi,merchant1@upi,7326,INR,UPI,CAPTURED
T049,2026-09-18T16:43:00.000Z,CUSTOMER-043,MERCHANT-002,customer43@upi,merchant2@upi,7463,INR,UPI,CAPTURED
T050,2026-09-18T16:50:00.000Z,CUSTOMER-044,MERCHANT-003,customer44@upi,merchant3@upi,7600,INR,UPI,CAPTURED
T051,2026-09-18T16:57:00.000Z,CUSTOMER-045,MERCHANT-004,customer45@upi,merchant4@upi,7737,INR,UPI,CAPTURED
T052,2026-09-18T17:04:00.000Z,CUSTOMER-046,MERCHANT-005,customer46@upi,merchant5@upi,7874,INR,UPI,CAPTURED
T053,2026-09-18T17:11:00.000Z,CUSTOMER-047,MERCHANT-006,customer47@upi,merchant6@upi,8011,INR,UPI,CAPTURED
T054,2026-09-18T17:18:00.000Z,CUSTOMER-048,MERCHANT-007,customer48@upi,merchant7@upi,8148,INR,UPI,CAPTURED
T055,2026-09-18T17:25:00.000Z,CUSTOMER-049,MERCHANT-008,customer49@upi,merchant8@upi,8285,INR,UPI,CAPTURED
T056,2026-09-18T17:32:00.000Z,CUSTOMER-050,MERCHANT-009,customer50@upi,merchant9@upi,8422,INR,UPI,CAPTURED
T057,2026-09-18T17:39:00.000Z,CUSTOMER-051,MERCHANT-010,customer51@upi,merchant10@upi,8559,INR,UPI,CAPTURED
